,templates
5106,"['filter', 'glucose', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5107,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5108,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5109,"['filter', 'age', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5110,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5111,"['labelfilter', 'and', 'predictionfilter', 'and', 'explain', 'features', '[e]']"
5112,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5113,"['filter', 'glucose', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5114,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5115,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5116,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5117,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5118,"['filter', 'skinthickness', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5119,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5120,"['filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5121,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5122,"['filter', 'diabetespedigreefunction', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5123,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5124,"['filter', 'age', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5125,"['filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5126,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5127,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5128,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5129,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5130,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5131,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5132,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5133,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5134,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5135,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5136,"['filter', 'bloodpressure', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5137,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5138,"['filter', 'glucose', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5139,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5140,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5141,"['filter', 'skinthickness', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5142,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5143,"['labelfilter', 'and', 'predictionfilter', 'and', 'explain', 'features', '[e]']"
5144,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5145,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5146,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5147,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5148,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5149,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5150,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5151,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5152,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5153,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5154,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5155,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5156,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5157,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5158,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5159,"['filter', 'insulin', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5160,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5161,"['filter', 'age', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5162,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'skinthickness', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5163,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5164,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5165,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5166,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5167,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5168,"['predictionfilter', 'and', 'explain', 'features', '[e]']"
5169,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5170,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5171,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5172,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5173,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5174,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5175,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5176,"['filter', 'skinthickness', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5177,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5178,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5179,"['filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5180,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5181,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5182,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5183,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5184,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5185,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5186,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5187,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5188,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5189,"['filter', 'age', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5190,"['filter', 'bloodpressure', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5191,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5192,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5193,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5194,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5195,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5196,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5197,"['filter', 'skinthickness', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5198,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5199,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5200,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5201,"['filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5202,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5203,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5204,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5205,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5206,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5207,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5208,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5209,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5210,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5211,"['filter', 'age', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5212,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5213,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5214,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5215,"['filter', 'bloodpressure', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5216,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5217,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5218,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5219,"['filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5220,"['predictionfilter', 'and', 'explain', 'features', '[e]']"
5221,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5222,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5223,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5224,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5225,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5226,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5227,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5228,"['filter', 'bloodpressure', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5229,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5230,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5231,"['filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5232,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5233,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5234,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5235,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5236,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5237,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5238,"['filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5239,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5240,"['filter', 'age', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5241,"['labelfilter', 'and', 'predictionfilter', 'and', 'explain', 'features', '[e]']"
5242,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5243,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5244,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5245,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5246,"['filter', 'diabetespedigreefunction', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5247,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5248,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5249,"['filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5250,"['filter', 'glucose', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5251,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5252,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5253,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5254,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5255,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5256,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5257,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5258,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5259,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5260,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5261,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5262,"['filter', 'insulin', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5263,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5264,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5265,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5266,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5267,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5268,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5269,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5270,"['filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5271,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5272,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5273,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5274,"['filter', 'glucose', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5275,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5276,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5277,"['filter', 'age', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5278,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5279,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5280,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5281,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5282,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5283,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5284,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5285,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5286,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5287,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5288,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5289,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5290,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5291,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5292,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5293,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5294,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5295,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5296,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5297,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5298,"['filter', 'pregnancies', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5299,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5300,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5301,"['predictionfilter', 'and', 'explain', 'features', '[e]']"
5302,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5303,"['filter', 'diabetespedigreefunction', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5304,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5305,"['filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5306,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5307,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5308,"['filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5309,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5310,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5311,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5312,"['predictionfilter', 'and', 'labelfilter', 'likely', 'to', 'have', 'diabetes', 'and', 'explain', 'features', '[e]']"
5313,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5314,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5315,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5316,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5317,"['filter', 'glucose', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5318,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5319,"['filter', 'diabetespedigreefunction', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5320,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5321,"['filter', 'skinthickness', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5322,"['filter', 'glucose', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5323,"['filter', 'bloodpressure', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5324,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5325,"['filter', 'bmi', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5326,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5327,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5328,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5329,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5330,"['filter', 'skinthickness', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5331,"['filter', 'id', 'and', 'explain', 'features', '[e]']"
5332,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5333,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5334,"['predictionfilter', 'and', 'labelfilter', 'unlikely', 'to', 'have', 'diabetes', 'and', 'explain', 'features', '[e]']"
5335,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5336,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5337,"['filter', 'glucose', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5338,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5339,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5340,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5341,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5342,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5343,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5344,"['labelfilter', 'and', 'predictionfilter', 'and', 'explain', 'features', '[e]']"
5345,"['filter', 'glucose', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5346,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5347,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5348,"['predictionfilter', 'and', 'explain', 'features', '[e]']"
5349,"['filter', 'skinthickness', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5350,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5351,"['filter', 'id', 'and', 'explain', 'features', '[e]']"
5352,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5353,"['filter', 'bloodpressure', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5354,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5355,"['filter', 'skinthickness', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5356,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5357,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5358,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5359,"['filter', 'bmi', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5360,"['filter', 'pregnancies', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5361,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5362,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5363,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5364,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5365,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5366,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5367,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5368,"['filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5369,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'skinthickness', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5370,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5371,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5372,"['filter', 'bloodpressure', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5373,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
5374,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5375,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5376,"['predictionfilter', 'and', 'labelfilter', 'and', 'explain', 'features', '[e]']"
5377,"['filter', 'insulin', 'less', 'than', 'and', 'explain', 'features', '[e]']"
5378,"['filter', 'insulin', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5379,"['filter', 'age', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5380,"['filter', 'glucose', 'not', 'equal', 'to', 'and', 'explain', 'features', '[e]']"
5381,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'explain', 'features', '[e]']"
5382,"['filter', 'age', 'less', 'equal', 'than', 'and', 'explain', 'features', '[e]']"
